city,lat,long,temp,hum,cld,wind,country
namibe,-15.2,12.15,78.69,64,23,2.93,AO
krasnoobsk,54.92,82.99,42.8,81,7,11.18,RU
inirida,3.87,-67.92,78.04,87,58,2.57,CO
bangsund,64.4,11.39,44.01,65,62,18.01,NO
samarai,-10.62,150.67,83.14,80,27,12.59,PG
smithers,54.78,-127.17,59.0,30,40,8.05,CA
mataura,-46.19,168.86,55.81,66,100,7.16,NZ
pokhara,28.23,83.98,64.51,42,90,4.32,NP
portland,45.52,-122.68,57.16,61,95,1.01,US
cherskiy,68.75,161.3,32.23,96,60,12.88,RU
bavly,54.39,53.26,44.96,88,94,4.45,RU
zhangye,38.93,100.45,63.09,22,28,10.67,CN
cocorit,27.58,-109.97,93.2,17,40,16.11,MX
thompson,55.74,-97.86,35.6,87,90,17.22,CA
longyearbyen,78.22,15.64,23.0,79,40,4.7,SJ
fortuna,40.6,-124.16,67.01,60,20,4.7,US
kiama,-34.68,150.87,56.71,51,45,25.01,AU
broome,42.25,-75.83,50.22,100,90,9.17,US
san rafael,-34.62,-68.33,59.68,44,0,5.14,AR
sao filipe,14.9,-24.5,77.29,62,0,6.6,CV
butaritari,3.07,172.79,83.52,80,74,19.89,KI
margate,51.38,1.39,44.67,84,46,1.99,GB
zheshart,62.07,49.57,31.93,94,98,5.21,RU
broken hill,-31.95,141.43,53.6,87,40,17.22,AU
evensk,61.95,159.23,29.25,94,4,3.4,RU
itarema,-2.92,-39.92,78.42,89,97,8.79,BR
husavik,66.04,-17.34,33.8,86,90,10.29,IS
rawson,-43.3,-65.1,55.74,81,99,15.88,AR
sur,22.57,59.53,86.5,56,0,9.51,OM
tuktoyaktuk,69.45,-133.04,24.8,73,75,8.05,CA
vardo,70.37,31.11,35.47,83,25,11.95,NO
khatanga,71.97,102.5,15.33,96,100,9.75,RU
bowmore,34.94,-79.3,66.11,40,1,10.29,US
markova,48.68,24.41,50.47,72,100,3.11,UA
jijiga,9.35,42.8,65.86,54,98,11.39,ET
makakilo city,21.35,-158.09,78.98,57,40,9.17,US
luganville,-15.53,167.17,86.0,70,40,8.05,VU
acarau,-2.89,-40.12,78.85,88,99,9.13,BR
burnie,-41.07,145.92,49.84,74,100,15.99,AU
abha,18.22,42.51,65.25,63,2,0.96,SA
san andres,12.58,-81.7,84.2,70,75,12.75,CO
east london,-33.02,27.91,67.08,53,69,8.01,ZA
saint george,37.1,-113.58,89.51,11,1,11.41,US
barrow,71.29,-156.79,21.2,79,90,8.05,US
verkhoyansk,67.54,133.38,20.82,90,95,2.3,RU
nikolskoye,59.7,30.79,36.18,64,53,6.71,RU
goderich,43.75,-81.72,45.34,81,20,3.78,CA
klaksvik,62.23,-6.59,39.2,78,75,10.29,FO
esperance,-33.87,121.9,48.2,81,80,14.99,AU
vung tau,10.35,107.08,82.51,79,95,15.32,VN
conceicao do araguaia,-8.26,-49.26,76.1,84,77,3.49,BR
xining,36.62,101.77,58.82,13,0,2.08,CN
chimbote,-9.09,-78.58,69.49,83,10,6.44,PE
yulara,-25.24,130.99,51.8,53,0,10.29,AU
lagoa,39.05,-27.98,62.33,78,48,30.02,PT
kununurra,-15.77,128.73,73.4,23,36,12.75,AU
luderitz,-26.65,15.16,67.44,48,54,3.58,NA
ahar,38.48,47.07,50.22,42,72,4.09,IR
lugovoy,42.95,72.76,56.08,55,100,4.36,KZ
quatre cocos,-20.21,57.76,73.53,73,20,9.17,MU
taganak,6.08,118.3,78.4,94,20,3.36,PH
langsa,4.47,97.97,74.68,94,99,2.04,ID
sao joao da barra,-21.64,-41.05,71.91,90,0,6.49,BR
port hedland,-20.32,118.57,71.6,32,0,12.75,AU
dikson,73.51,80.55,14.49,97,87,10.33,RU
kapaa,22.08,-159.32,79.11,74,75,18.34,US
pochinki,54.7,44.87,33.84,90,50,7.0,RU
mathbaria,22.29,89.96,77.97,78,33,2.68,BD
vila franca do campo,37.72,-25.43,62.6,88,75,21.92,PT
qaanaaq,77.48,-69.36,14.76,90,47,3.24,GL
alto parana,-23.13,-52.32,67.93,55,1,0.2,BR
adrar,20.5,-10.07,84.07,12,0,4.43,MR
pevek,69.7,170.31,26.26,92,2,12.08,RU
bonnyville,54.27,-110.73,53.6,46,75,9.17,CA
cotonou,6.37,2.42,82.9,81,94,10.6,BJ
kodiak,57.79,-152.41,46.4,61,75,6.93,US
sisimiut,66.94,-53.67,32.88,94,74,13.27,GL
mackay,-21.15,149.2,69.6,34,9,14.99,AU
flinders,-34.58,150.86,57.0,52,56,20.0,AU
tasiilaq,65.61,-37.64,30.2,74,0,4.7,GL
camacha,33.08,-16.33,66.2,82,40,4.7,PT
whitehorse,60.72,-135.05,50.0,29,75,8.05,CA
constitucion,-35.33,-72.42,55.6,85,49,9.98,CL
beringovskiy,63.05,179.32,25.59,95,99,9.53,RU
sungairaya,0.7,108.9,80.55,83,100,1.45,ID
hasaki,35.73,140.83,70.34,77,0,4.7,JP
faanui,-16.48,-151.75,82.63,73,12,8.86,PF
mount gambier,-37.83,140.77,51.8,66,90,20.8,AU
dingle,11.0,122.67,82.18,66,61,8.21,PH
puerto narino,-3.77,-70.38,82.4,94,20,1.63,CO
upernavik,72.79,-56.15,30.65,93,100,7.2,GL
coihaique,-45.58,-72.07,41.0,93,90,3.36,CL
bengkulu,-3.8,102.27,77.7,83,100,8.43,ID
joetsu,37.15,138.24,68.49,74,0,4.07,JP
guadalupe,25.68,-100.25,91.02,32,20,16.11,MX
paamiut,61.99,-49.67,34.0,89,100,15.39,GL
yellowknife,62.46,-114.35,41.0,56,40,5.82,CA
xinzhou,38.41,112.73,77.49,13,1,1.59,CN
napasar,27.97,73.55,87.93,26,0,16.22,IN
shingu,33.73,135.98,66.2,82,40,3.36,JP
west bay,19.37,-81.42,81.88,83,40,4.7,KY
college,64.86,-147.8,48.87,27,40,13.87,US
sinazongwe,-17.26,27.46,73.92,44,0,5.61,ZM
barra do garcas,-15.89,-52.26,71.37,63,8,1.3,BR
tigil,57.8,158.67,41.4,65,0,6.73,RU
isla vista,34.41,-119.86,77.85,53,1,9.17,US
iqaluit,63.75,-68.51,32.0,94,90,8.05,CA
bayangol,50.7,103.47,40.57,42,99,6.46,RU
barranquilla,10.96,-74.8,82.4,78,75,9.17,CO
manzil salim,35.86,8.48,57.2,71,0,2.24,TN
mancio lima,-7.61,-72.9,75.87,90,98,1.83,BR
tessaoua,13.76,7.99,84.27,40,62,14.45,NE
honghu,29.82,113.46,77.4,73,21,11.36,CN
lorengau,-2.02,147.27,84.51,77,58,6.82,PG
buala,-8.14,159.59,86.92,69,88,8.7,SB
atuona,-9.8,-139.03,81.95,79,18,17.6,PF
xinyang,32.12,114.07,75.92,72,0,11.1,CN
beppu,33.27,131.49,64.4,77,68,4.7,JP
ramganj,23.1,90.85,76.78,81,0,3.27,BD
aguimes,27.91,-15.45,66.11,77,20,21.92,ES
czarnkow,52.9,16.56,49.96,76,59,4.7,PL
houma,29.6,-90.72,75.42,35,1,8.01,US
saskylakh,71.92,114.08,13.68,95,90,6.76,RU
little current,45.98,-81.92,56.86,41,20,11.41,CA
chuy,-33.7,-53.46,55.31,91,25,8.3,UY
udachnyy,66.42,112.4,17.6,72,75,8.95,RU
tiksi,71.69,128.87,19.27,95,100,8.41,RU
valparaiso,-33.04,-71.63,57.2,87,0,3.36,CL
mahebourg,-20.41,57.7,75.2,73,20,9.17,MU
laramie,41.31,-105.59,53.6,58,90,25.28,US
torata,-17.08,-70.84,62.55,25,59,2.01,PE
mbumi,-7.91,39.21,73.0,97,59,3.11,TZ
raudeberg,61.99,5.14,39.99,93,100,6.29,NO
nome,64.5,-165.41,38.07,64,1,17.22,US
riyadh,24.69,46.72,80.6,36,33,5.82,SA
ballina,-28.87,153.57,61.18,48,0,17.22,AU
yining,29.04,114.56,74.97,77,0,1.77,CN
rock sound,24.9,-76.2,78.21,80,67,11.52,BS
thai binh,20.45,106.33,77.0,94,75,2.24,VN
lashio,22.93,97.75,66.52,68,9,1.21,MM
songjianghe,42.19,127.48,65.97,51,74,10.04,CN
sidi ali,36.1,0.42,61.07,66,14,4.16,DZ
mwingi,-0.93,38.06,64.92,72,75,3.76,KE
dunedin,-45.87,170.5,55.0,64,69,1.99,NZ
stokmarknes,68.56,14.91,34.34,67,15,1.99,NO
vanimo,-2.67,141.3,82.22,80,100,3.33,PG
vila velha,-20.33,-40.29,75.27,88,7,2.24,BR
ugoofaaru,5.67,73.0,85.24,73,10,12.66,MV
rocha,-34.48,-54.33,52.95,92,14,7.2,UY
the valley,18.22,-63.06,79.86,78,40,11.41,AI
southbridge,42.08,-72.03,55.78,92,99,3.33,US
muli,2.92,73.57,84.6,78,20,10.89,MV
jalu,29.03,21.55,65.77,49,0,16.35,LY
wattegama,6.8,81.48,75.54,85,74,2.04,LK
okhotsk,59.38,143.3,31.01,98,100,29.06,RU
ilulissat,69.22,-51.1,30.2,92,100,11.41,GL
mvuma,-19.28,30.53,58.08,51,0,7.74,ZW
boddam,57.47,-1.78,46.13,81,75,10.29,GB
cayenne,4.93,-52.33,78.8,94,40,2.24,GF
plaster rock,46.91,-67.39,50.92,93,90,5.82,CA
tairua,-37.02,175.85,64.02,65,82,10.54,NZ
aitape,-3.14,142.35,84.13,73,100,3.38,PG
along,28.17,94.77,65.55,72,10,2.1,IN
otofuke,42.99,143.2,46.4,93,75,5.82,JP
arenapolis,-14.45,-56.85,72.81,68,0,1.14,BR
ponta do sol,32.67,-17.1,62.15,77,40,2.24,PT
brigantine,39.41,-74.36,61.45,59,90,8.05,US
arraial do cabo,-22.97,-42.03,74.26,82,12,5.95,BR
avarua,-21.21,-159.78,73.4,73,100,6.93,CK
kisangani,0.52,25.2,70.23,87,70,1.32,CD
aykhal,66.0,111.5,17.6,72,75,8.95,RU
cidreira,-30.18,-50.21,61.93,73,9,9.04,BR
airai,-8.93,125.41,66.49,57,47,3.69,TL
nioro,13.35,-15.75,76.08,57,0,9.84,GM
roura,4.73,-52.33,78.8,94,40,2.24,GF
bryan,30.67,-96.37,81.3,48,1,11.41,US
cabo san lucas,22.89,-109.91,91.45,16,5,14.99,MX
severnoye,56.35,78.36,40.75,82,16,10.92,RU
mogok,22.92,96.5,65.86,59,0,2.01,MM
henderson,36.04,-114.98,92.12,7,1,18.34,US
auki,-8.77,160.7,87.6,64,67,3.11,SB
sorong,-0.88,131.25,83.1,76,52,10.25,ID
astoria,46.19,-123.83,55.08,66,90,10.29,US
castro,-24.79,-50.01,60.46,67,94,2.68,BR
mandalgovi,45.76,106.27,55.24,41,83,25.21,MN
alice springs,-23.7,133.88,55.4,47,0,9.17,AU
san antonio,29.42,-98.49,89.82,27,1,16.11,US
the pas,53.83,-101.25,35.6,85,90,8.05,CA
denpasar,-8.65,115.22,80.6,88,20,4.7,ID
manzanillo,20.34,-77.12,78.24,79,85,2.82,CU
kavieng,-2.57,150.8,82.42,80,100,11.03,PG
piacabucu,-10.41,-36.43,78.17,87,100,5.55,BR
lanxi,29.22,119.48,71.33,83,99,3.42,CN
ancud,-41.87,-73.82,56.59,87,90,11.41,CL
peniche,39.36,-9.38,61.07,91,100,1.01,PT
port lincoln,-34.73,135.87,60.8,71,55,20.47,AU
torbay,47.67,-52.73,47.41,31,40,14.99,CA
paita,-5.09,-81.11,72.32,76,17,12.28,PE
carnarvon,-24.87,113.63,57.2,54,0,4.7,AU
antanifotsy,-19.65,47.32,58.01,56,99,1.12,MG
kavaratti,10.57,72.64,85.21,70,34,9.69,IN
saint-philippe,-21.36,55.77,67.98,68,58,3.36,RE
verkhnevilyuysk,63.45,120.32,27.72,93,100,9.78,RU
nanortalik,60.14,-45.24,35.4,84,58,3.56,GL
komsomolskiy,40.43,71.72,64.4,68,25,2.24,UZ
joshimath,30.57,79.57,51.96,19,33,5.97,IN
kroonstad,-27.65,27.23,52.57,27,16,4.09,ZA
chodavaram,17.83,82.95,75.2,94,75,3.36,IN
hare bay,48.85,-54.01,48.2,24,75,9.17,CA
sitka,57.05,-135.33,53.6,46,40,6.93,US
tessalit,20.2,1.01,86.2,12,7,11.97,ML
saldanha,-33.01,17.94,57.2,93,11,8.05,ZA
campbell river,50.02,-125.24,55.65,62,75,8.05,CA
sambava,-14.27,50.17,73.33,83,100,10.92,MG
balakovo,52.03,47.8,54.46,49,12,3.56,RU
karpathos,35.51,27.21,62.6,77,6,12.75,GR
khabary,53.63,79.53,45.46,72,40,9.24,RU
kaitangata,-46.28,169.85,62.01,40,93,5.99,NZ
lahad datu,5.03,118.33,81.77,79,70,2.51,MY
harper,4.38,-7.72,81.34,87,95,5.95,LR
mayskiy,47.69,40.1,48.2,66,0,0.54,RU
la ronge,55.1,-105.28,37.4,93,90,6.93,CA
stromness,58.97,-3.3,45.55,93,92,14.99,GB
rust,48.27,7.73,49.23,85,37,8.19,DE
kungurtug,50.6,97.52,39.34,46,3,1.25,RU
muisne,0.6,-80.03,82.4,83,75,5.82,EC
nizhniy tsasuchey,50.52,115.13,43.88,39,100,12.91,RU
bambous virieux,-20.34,57.76,73.67,73,20,9.17,MU
khandyga,62.67,135.6,32.5,85,100,5.37,RU
cururupu,-1.83,-44.87,74.01,98,100,3.13,BR
deputatskiy,69.3,139.9,16.36,90,98,1.88,RU
plettenberg bay,-34.05,23.37,63.75,51,37,3.36,ZA
manzhouli,49.6,117.43,43.9,39,100,16.55,CN
high prairie,55.43,-116.49,53.51,38,28,9.13,CA
norman wells,65.28,-126.83,39.2,55,20,8.05,CA
geraldton,-28.77,114.6,64.4,31,0,23.04,AU
jibuti,11.5,42.5,86.0,79,1,8.25,DJ
fuyang,32.9,115.82,74.21,81,0,7.7,CN
mar del plata,-38.0,-57.56,55.78,82,75,11.41,AR
half moon bay,37.46,-122.43,66.7,58,1,11.41,US
birjand,32.87,59.22,57.2,58,20,11.41,IR
arrecife,28.96,-13.55,66.2,77,40,13.87,ES
pisco,-13.7,-76.22,69.03,73,0,16.11,PE
surovatikha,55.77,43.9,32.0,89,0,4.94,RU
turukhansk,65.82,87.98,29.39,90,0,14.43,RU
trairi,-3.28,-39.27,79.03,88,87,7.54,BR
placido de castro,-10.34,-67.19,75.96,90,65,0.98,BR
hokitika,-42.72,170.97,57.07,82,98,8.66,NZ
north bend,43.41,-124.22,61.77,77,90,10.29,US
provideniya,64.38,-173.3,32.81,79,0,7.81,RU
dongsheng,39.82,109.98,72.21,11,0,17.92,CN
zhezkazgan,47.8,67.71,46.4,65,34,13.42,KZ
tilichiki,60.47,166.1,26.71,95,45,2.8,RU
kota belud,6.35,116.43,80.74,78,20,5.82,MY
solnechnyy,50.72,136.63,53.53,49,46,2.73,RU
port blair,11.67,92.75,81.75,78,100,6.53,IN
boa vista,2.82,-60.67,91.4,52,75,2.24,BR
bowen,-20.02,148.23,74.41,53,31,9.17,AU
saint-francois,46.42,3.91,55.4,66,90,9.17,FR
bandarbeyla,9.49,50.81,83.7,76,98,8.77,SO
kharovsk,59.96,40.19,26.91,96,2,2.17,RU
laguna,38.42,-121.42,82.08,18,1,10.29,US
corn island,12.17,-83.04,81.97,77,5,15.88,NI
caimito,8.81,-75.41,86.0,70,75,9.17,CO
luang prabang,19.89,102.13,76.28,65,13,0.74,LA
zhoucheng,35.91,116.31,71.76,71,47,10.42,CN
nemuro,43.32,145.57,55.4,71,75,11.41,JP
dakar,14.69,-17.44,73.4,83,0,4.7,SN
tres arroyos,-38.37,-60.28,51.3,91,59,5.06,AR
petropavlovsk-kamchatskiy,53.05,158.65,39.2,86,90,2.24,RU
tura,25.52,90.22,72.21,60,5,2.93,IN
andenes,69.31,16.12,35.6,80,6,5.82,NO
katsuura,35.13,140.3,69.67,66,0,4.0,JP
guerrero negro,27.98,-114.06,70.03,63,0,14.47,MX
vila do maio,15.13,-23.22,78.8,50,2,6.93,CV
villazon,-22.09,-65.59,53.4,23,70,13.2,BO
luchegorsk,46.48,134.26,62.24,58,0,10.11,RU
pacific grove,36.62,-121.92,67.14,42,1,11.41,US
rubiataba,-15.16,-49.8,67.3,64,1,1.83,BR
lompoc,34.64,-120.46,66.33,32,1,20.8,US
inuvik,68.35,-133.72,32.0,95,40,5.82,CA
ahipara,-35.17,173.17,69.55,62,86,15.95,NZ
mecca,21.43,39.83,75.72,26,0,3.98,SA
angola,-12.5,18.5,59.14,50,18,3.65,AO
srivardhan,18.03,73.02,79.77,85,36,4.14,IN
hualmay,-11.1,-77.61,70.11,78,63,6.89,PE
gat,31.61,34.76,59.99,65,0,2.24,IL
sirjan,29.45,55.68,61.92,39,16,7.36,IR
iquitos,-3.75,-73.25,82.4,78,75,3.36,PE
novyy urgal,51.07,132.56,46.27,72,33,12.08,RU
viedma,-40.81,-63.0,54.72,83,90,11.48,AR
elk city,35.41,-99.4,91.4,26,1,12.75,US
santiago del estero,-27.8,-64.26,60.91,62,76,2.75,AR
taltal,-25.4,-70.48,60.06,78,74,3.42,CL
vestmanna,62.16,-7.17,39.2,79,73,10.29,FO
virtsu,58.57,23.51,48.0,45,100,5.01,EE
hammerfest,70.66,23.68,26.6,79,3,2.24,NO
goshogawara,40.8,140.44,66.09,72,75,24.16,JP
caravelas,-17.71,-39.25,74.95,86,26,4.68,BR
mount isa,-20.73,139.5,62.6,25,48,16.11,AU
bose,45.46,8.01,53.65,80,79,5.41,IT
ratnagiri,16.98,73.3,81.68,81,48,8.08,IN
muncar,-8.43,114.33,79.27,84,100,2.95,ID
sarakhs,36.54,61.16,64.4,88,51,2.24,IR
rimouski,48.45,-68.52,44.6,100,90,5.82,CA
mayo,38.89,-76.51,61.02,55,90,12.75,US
izumo,35.37,132.77,73.4,43,9,17.22,JP
chicama,-7.84,-79.15,72.59,69,32,5.84,PE
alghero,40.56,8.32,64.4,93,56,13.87,IT
harnosand,62.63,17.94,39.18,93,100,17.22,SE
haines junction,60.75,-137.51,42.04,50,87,5.21,CA
minab,27.15,57.08,80.6,57,0,6.93,IR
tazmalt,36.39,4.4,59.0,93,0,4.7,DZ
ouesso,1.61,16.05,73.56,75,96,2.06,CG
najran,17.49,44.13,80.6,44,40,10.29,SA
winnemucca,40.97,-117.74,73.4,12,1,5.82,US
swan hill,-35.34,143.55,52.34,70,67,14.45,AU
brightwater,-41.38,173.12,59.0,84,84,2.37,NZ
gbarnga,7.0,-9.47,75.67,91,100,2.68,LR
tshikapa,-6.42,20.8,72.41,79,30,1.97,CD
anadyr,64.75,177.48,21.09,85,100,8.95,RU
suicheng,33.9,117.93,69.33,85,65,3.33,CN
bisira,8.52,-81.71,61.59,69,98,5.35,PA
hanting,36.77,119.21,70.81,72,31,11.7,CN
mindelo,16.89,-24.98,73.4,83,20,14.99,CV
huarmey,-10.07,-78.15,70.86,78,31,7.58,PE
mareeba,-17.0,145.43,75.58,47,40,16.11,AU
sawakin,19.11,37.33,74.88,44,0,6.71,SD
nadym,65.53,72.52,25.34,98,100,7.58,RU
san patricio,19.22,-104.7,80.6,78,5,11.41,MX
kajiado,-1.85,36.78,64.4,93,75,8.05,KE
kulu,39.1,33.08,52.59,52,54,2.37,TR
batemans bay,-35.72,150.18,62.01,47,100,3.0,AU
puerto penasco,31.32,-113.53,80.01,65,0,5.99,MX
salalah,17.02,54.09,84.2,89,75,9.17,OM
saint-georges,12.06,-61.75,82.4,74,20,19.46,GD
caldwell,43.66,-116.69,69.13,28,1,10.29,US
coahuayana,18.73,-103.68,86.0,35,20,11.41,MX
qui nhon,13.77,109.23,78.71,82,28,2.15,VN
gatak,-7.59,110.7,76.26,80,96,5.59,ID
bredy,52.42,60.34,51.31,53,100,7.65,RU
dehloran,32.69,47.27,77.25,22,74,3.74,IR
tual,-5.67,132.75,82.76,79,78,11.74,ID
praia da vitoria,38.73,-27.07,62.6,82,75,28.92,PT
anito,12.45,125.29,81.27,87,19,8.72,PH
faya,18.39,42.45,65.3,63,1,1.59,SA
shintomi,32.08,131.47,66.2,72,88,3.36,JP
treinta y tres,-33.23,-54.38,53.87,92,15,7.78,UY
jiazi,22.88,116.07,76.51,81,43,2.42,CN
humaita,-7.51,-63.02,77.04,94,87,1.61,BR
hambantota,6.12,81.12,80.28,84,85,9.91,LK
black river,18.03,-77.85,82.22,74,40,12.75,JM
grindavik,63.84,-22.43,35.6,80,75,11.41,IS
petukhovo,55.07,67.9,42.87,68,12,3.91,RU
itaituba,-4.28,-55.98,77.31,93,40,1.41,BR
manasia,44.7,26.67,57.78,93,91,1.12,RO
canyon lake,29.88,-98.26,86.04,36,45,5.01,US
flin flon,54.77,-101.86,33.8,100,90,10.29,CA
isangel,-19.55,169.27,84.2,74,20,5.82,VU
gravdal,68.12,13.5,39.0,74,53,12.48,NO
savonlinna,61.87,28.88,33.8,59,76,4.7,FI
myaundzha,63.05,147.19,25.79,79,100,3.22,RU
malanville,11.87,3.39,92.48,36,61,5.7,BJ
codrington,-38.27,141.97,51.3,74,100,23.02,AU
cukai,4.25,103.42,77.0,100,40,1.12,MY
talnakh,69.49,88.4,19.4,67,13,4.47,RU
yar-sale,66.83,70.83,21.67,98,100,6.93,RU
fort nelson,58.81,-122.7,59.0,30,75,4.7,CA
neyshabur,36.21,58.8,60.96,37,8,6.26,IR
berlevag,70.86,29.09,31.26,93,27,11.97,NO
general roca,-39.03,-67.58,59.0,38,93,5.82,AR
uniontown,39.9,-79.72,48.56,61,93,7.14,US
shadrinsk,56.09,63.63,44.02,72,85,6.2,RU
ust-kuyga,70.02,135.6,16.92,91,91,3.06,RU
opuwo,-18.06,13.84,66.76,32,0,4.18,NA
te anau,-45.42,167.72,60.31,74,100,7.02,NZ
cervo,43.67,-7.41,63.0,1,88,11.01,ES
yumen,40.28,97.2,59.63,23,100,10.85,CN
biak,-0.91,122.88,80.49,71,89,4.54,ID
swarzedz,52.41,17.09,49.53,76,63,4.7,PL
popondetta,-8.75,148.25,90.18,54,96,1.86,PG
muroto,33.28,134.15,66.2,63,1,3.36,JP
rio cuarto,-33.13,-64.35,57.2,67,0,4.7,AR
bubaque,11.28,-15.83,79.72,82,5,10.36,GW
san carlos de bariloche,-41.15,-71.31,53.6,50,75,9.17,AR
zeya,53.75,127.27,36.57,67,45,23.4,RU
sabaudia,41.3,13.03,60.64,87,100,5.01,IT
staryy nadym,65.61,72.68,25.12,98,100,7.72,RU
palmer,42.16,-72.33,56.43,93,75,6.93,US
waipawa,-41.41,175.52,63.46,59,3,25.28,NZ
sydney,-33.87,151.21,58.53,38,59,25.28,AU
port-gentil,-0.72,8.78,81.79,84,100,11.99,GA
laje,-10.18,-40.97,70.77,70,70,4.63,BR
labuhan,-6.88,112.21,78.85,83,29,8.25,ID
bartica,6.4,-58.62,80.6,88,75,6.93,GY
vao,-22.67,167.48,76.66,81,0,17.2,NC
havre-saint-pierre,50.23,-63.6,41.0,93,90,3.36,CA
padang,-0.95,100.35,78.3,75,100,6.46,ID
souillac,-20.52,57.52,75.2,73,20,9.17,MU
beyneu,45.32,55.2,59.86,57,0,8.12,KZ
ayan,56.45,138.17,33.17,89,91,6.62,RU
lehigh acres,26.63,-81.62,75.92,47,1,8.05,US
dodge city,37.75,-100.02,87.13,19,1,11.41,US
wewak,-3.55,143.63,78.62,86,100,3.29,PG
mao,39.89,4.27,62.6,93,67,6.93,ES
suhbaatar,50.23,106.21,44.2,70,100,13.24,MN
gurupi,-11.73,-49.07,73.08,77,31,3.11,BR
neuquen,-38.95,-68.06,59.0,38,85,5.82,AR
carros,43.79,7.18,63.45,68,42,14.99,FR
hof,50.32,11.92,44.35,95,55,8.01,DE
tahoua,14.89,5.27,95.0,24,11,2.24,NE
bestobe,52.5,73.1,49.21,61,21,3.13,KZ
clyde river,70.47,-68.59,12.2,85,40,14.99,CA
henties bay,-22.12,14.28,59.0,94,0,10.49,NA
ilhabela,-23.78,-45.36,72.57,83,95,3.91,BR
sangar,63.92,127.47,25.95,90,15,13.11,RU
hami,42.8,93.45,66.7,25,87,18.07,CN
omboue,-1.57,9.26,78.6,90,99,8.99,GA
altay,47.87,88.12,51.73,30,0,3.44,CN
bayan,46.08,127.4,75.0,32,77,11.72,CN
aksehir,38.36,31.42,51.12,54,84,4.12,TR
banjar,-8.19,114.97,80.6,88,20,4.7,ID
